# TOPAS Version: 3.9
# Parameter File: pristine_temp.txt
# Results for scorer: DoseAtPhantom
# Scored in component: Phantom
# X in 1 bin  of 30 cm
# Y in 1 bin  of 30 cm
# Z in 301 bins of 0.0996678 cm
# DoseToMedium ( Gy ) : Sum   
0, 0, 0, 1.106953959606471e-07
0, 0, 1, 1.120007624422215e-07
0, 0, 2, 1.12992708523052e-07
0, 0, 3, 1.136594107720157e-07
0, 0, 4, 1.148288717445212e-07
0, 0, 5, 1.153412299004231e-07
0, 0, 6, 1.160031430913477e-07
0, 0, 7, 1.168002938811696e-07
0, 0, 8, 1.174457011643426e-07
0, 0, 9, 1.177147197495287e-07
0, 0, 10, 1.189138103541154e-07
0, 0, 11, 1.195565317857472e-07
0, 0, 12, 1.192941141425763e-07
0, 0, 13, 1.200797754563609e-07
0, 0, 14, 1.211447369087182e-07
0, 0, 15, 1.21470179692551e-07
0, 0, 16, 1.211446232218805e-07
0, 0, 17, 1.217812553022668e-07
0, 0, 18, 1.221547591967465e-07
0, 0, 19, 1.23979702948418e-07
0, 0, 20, 1.240517093492599e-07
0, 0, 21, 1.255104962183395e-07
0, 0, 22, 1.257157151712818e-07
0, 0, 23, 1.26073175010788e-07
0, 0, 24, 1.261168733890372e-07
0, 0, 25, 1.274092795711113e-07
0, 0, 26, 1.277578860481299e-07
0, 0, 27, 1.281686792253822e-07
0, 0, 28, 1.287663309312848e-07
0, 0, 29, 1.293470859309309e-07
0, 0, 30, 1.300111165392082e-07
0, 0, 31, 1.31393548485903e-07
0, 0, 32, 1.313837572070042e-07
0, 0, 33, 1.317996094485352e-07
0, 0, 34, 1.32286771759027e-07
0, 0, 35, 1.333635992750715e-07
0, 0, 36, 1.344933906466395e-07
0, 0, 37, 1.351745027022844e-07
0, 0, 38, 1.362578530006431e-07
0, 0, 39, 1.369524653682674e-07
0, 0, 40, 1.377471079422321e-07
0, 0, 41, 1.378820684294624e-07
0, 0, 42, 1.391337463019227e-07
0, 0, 43, 1.394744799654291e-07
0, 0, 44, 1.408217400467038e-07
0, 0, 45, 1.420247031092003e-07
0, 0, 46, 1.423586439841529e-07
0, 0, 47, 1.438722847524332e-07
0, 0, 48, 1.441470516283516e-07
0, 0, 49, 1.455214686529871e-07
0, 0, 50, 1.456422609180663e-07
0, 0, 51, 1.47282875673227e-07
0, 0, 52, 1.481531199942765e-07
0, 0, 53, 1.488491960799365e-07
0, 0, 54, 1.502751274529146e-07
0, 0, 55, 1.512916441015477e-07
0, 0, 56, 1.525271642321968e-07
0, 0, 57, 1.540478109518517e-07
0, 0, 58, 1.557248907602116e-07
0, 0, 59, 1.581012583073971e-07
0, 0, 60, 1.579366255555215e-07
0, 0, 61, 1.590583593724659e-07
0, 0, 62, 1.607508153256276e-07
0, 0, 63, 1.620102523247624e-07
0, 0, 64, 1.634578694620359e-07
0, 0, 65, 1.652351642178473e-07
0, 0, 66, 1.669271370019487e-07
0, 0, 67, 1.689589765874189e-07
0, 0, 68, 1.709610017996965e-07
0, 0, 69, 1.726695586512506e-07
0, 0, 70, 1.744647590840032e-07
0, 0, 71, 1.769162452092132e-07
0, 0, 72, 1.790694739156606e-07
0, 0, 73, 1.81682267452743e-07
0, 0, 74, 1.836584004877295e-07
0, 0, 75, 1.866006016371102e-07
0, 0, 76, 1.891778396156951e-07
0, 0, 77, 1.919776764225389e-07
0, 0, 78, 1.949371011278345e-07
0, 0, 79, 1.996362328782197e-07
0, 0, 80, 2.026805248078745e-07
0, 0, 81, 2.076573935028136e-07
0, 0, 82, 2.110813710487491e-07
0, 0, 83, 2.152791580556368e-07
0, 0, 84, 2.216727352788439e-07
0, 0, 85, 2.274825021686411e-07
0, 0, 86, 2.340112956744633e-07
0, 0, 87, 2.398564333816466e-07
0, 0, 88, 2.472053495239379e-07
0, 0, 89, 2.565380157193431e-07
0, 0, 90, 2.676299288850714e-07
0, 0, 91, 2.815741027006879e-07
0, 0, 92, 2.948262363133836e-07
